City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Poronaysk,RU,2020-07-11 23:12:47,49.22,143.12,59.16,82,70,2.77
70,Manta,EC,2020-07-11 23:10:07,-0.95,-80.73,72.91,85,88,8.14
71,Atuona,PF,2020-07-11 23:12:49,-9.8,-139.03,79.3,78,33,17.78
72,Saldanha,ZA,2020-07-11 23:12:50,-33.01,17.94,44.6,87,20,2.24
73,Cape Town,ZA,2020-07-11 23:08:08,-33.93,18.42,52.0,87,51,9.17
74,Kapaa,US,2020-07-11 23:12:53,22.08,-159.32,82.99,74,75,17.22
75,Butaritari,KI,2020-07-11 23:12:54,3.07,172.79,83.35,78,16,18.1
76,Sabang,ID,2020-07-11 23:12:56,5.89,95.32,82.69,74,100,12.97
77,North Platte,US,2020-07-11 23:12:57,41.12,-100.77,84.2,39,1,8.05
78,Yellowknife,CA,2020-07-11 23:12:57,62.46,-114.35,75.0,46,75,13.87
79,Shahreza,IR,2020-07-11 23:12:58,32.03,51.88,68.72,34,48,4.65
80,Sobolevo,RU,2020-07-11 23:12:59,54.43,31.9,57.97,93,100,9.69
81,Saint-Philippe,RE,2020-07-11 23:13:00,-21.36,55.77,69.8,77,45,4.7
82,Port Elizabeth,ZA,2020-07-11 23:13:01,-33.92,25.57,48.2,66,23,6.93
83,Tuatapere,NZ,2020-07-11 23:13:02,-46.13,167.68,48.13,83,66,8.81
84,Mayo,US,2020-07-11 23:12:40,38.89,-76.51,87.8,51,20,6.93
85,Rabat,MA,2020-07-11 23:10:22,33.99,-6.84,73.4,94,40,9.17
86,Arraial Do Cabo,BR,2020-07-11 23:13:05,-22.97,-42.03,71.13,82,0,23.89
87,Kavieng,PG,2020-07-11 23:13:06,-2.57,150.8,83.82,73,100,10.42
88,Mandan,US,2020-07-11 23:13:02,46.83,-100.89,80.6,64,20,9.17
89,Ucluelet,CA,2020-07-11 23:13:08,48.93,-125.55,59.0,93,75,13.87
90,Geraldton,AU,2020-07-11 23:13:09,-28.77,114.6,51.8,40,0,24.16
91,Kaitangata,NZ,2020-07-11 23:13:10,-46.28,169.85,50.0,62,63,14.0
92,Naron,ES,2020-07-11 23:13:11,43.52,-8.15,68.0,72,17,8.05
93,Roald,NO,2020-07-11 23:13:12,62.58,6.13,51.8,76,93,19.46
94,Nantucket,US,2020-07-11 23:11:02,41.28,-70.1,73.99,94,90,13.87
95,Guerrero Negro,MX,2020-07-11 23:13:14,27.98,-114.06,87.62,31,0,17.49
96,Lompoc,US,2020-07-11 23:13:15,34.64,-120.46,81.0,56,0,17.22
97,Havre-Saint-Pierre,CA,2020-07-11 23:13:17,50.23,-63.6,75.2,69,1,5.82
98,Nanortalik,GL,2020-07-11 23:13:18,60.14,-45.24,43.29,91,59,10.02
99,Urumqi,CN,2020-07-11 23:13:19,43.8,87.6,69.8,52,61,11.18
100,Alekseyevsk,RU,2020-07-11 23:13:20,57.84,108.35,62.56,85,89,4.36
101,Caluquembe,AO,2020-07-11 23:13:24,-13.78,14.68,53.42,42,1,0.54
102,Hilo,US,2020-07-11 23:13:26,19.73,-155.09,82.4,65,75,8.05
103,Saint-Francois,FR,2020-07-11 23:13:28,46.42,3.91,59.0,51,68,6.93
104,Nurota,UZ,2020-07-11 23:13:30,40.56,65.69,69.62,44,21,2.8
105,Georgetown,MY,2020-07-11 23:12:06,5.41,100.34,77.0,88,20,4.52
106,Pangnirtung,CA,2020-07-11 23:13:34,66.15,-65.71,52.59,53,85,1.95
107,Dikson,RU,2020-07-11 23:13:36,73.51,80.55,41.07,100,100,14.94
108,Ribeira Grande,PT,2020-07-11 23:13:38,38.52,-28.7,69.48,86,37,11.59
109,Togur,RU,2020-07-11 23:13:40,58.36,82.83,60.01,83,71,6.15
110,Malkangiri,IN,2020-07-11 23:13:42,18.35,81.9,77.72,86,100,0.72
111,Abnub,EG,2020-07-11 23:13:44,27.27,31.15,80.6,39,0,10.29
